Datum Uhrzeit; Kanal 1; ; ; Kanal 2; ; ; ; Kanal 3; ; ; 
; Messwert; Temperatur; Stellgröße; Messwert; Sensorwert; Temperatur; Stellgröße; Messwert; Temperatur; Stellgröße; Dig. Eingang 1; Dig. Eingang 2; Dig. Eingang 3; Dig. Eingang 4; Dig. Eingang 1; Dig. Eingang 2; Dig. Eingang 3; 
; %; °C; %; ppm; mA; °C ; %; %; °C; %; 

15.08.2019 00:00:43; ; ; ;  0.56;  5.00;  50.0;    0; ; ; ; Aus; Aus; Aus; Aus; Aus; Aus; Aus; 
15.08.2019 00:01:43; ; ; ;  0.61;  5.08;  50.0;    0; ; ; ; Aus; Aus; Aus; Aus; Aus; Aus; Aus; 
15.08.2019 00:02:43; ; ; ;  0.60;  5.06;  50.0;    0; ; ; ; Aus; Aus; Aus; Aus; Aus; Aus; Aus; 
15.08.2019 00:03:43; ; ; ;  0.72;  5.29;  50.0;    0; ; ; ; Aus; Aus; Aus; Aus; Aus; Aus; Aus; 
15.08.2019 00:04:43; ; ; ;  0.65;  5.16;  50.0;    0; ; ; ; Aus; Aus; Aus; Aus; Aus; Aus; Aus; 
15.08.2019 00:05:43; ; ; ;  0.70;  5.25;  50.0;    0; ; ; ; Aus; Aus; Aus; Aus; Aus; Aus; Aus; 
15.08.2019 00:06:43; ; ; ;  0.64;  5.15;  50.0;    0; ; ; ; Aus; Aus; Aus; Aus; Aus; Aus; Aus; 
15.08.2019 00:07:43; ; ; ;  0.67;  5.20;  50.0;    0; ; ; ; Aus; Aus; Aus; Aus; Aus; Aus; Aus; 
15.08.2019 00:08:43; ; ; ;  0.70;  5.24;  50.0;    0; ; ; ; Aus; Aus; Aus; Aus; Aus; Aus; Aus; 
15.08.2019 00:09:43; ; ; ;  0.66;  5.19;  50.0;    0; ; ; ; Aus; Aus; Aus; Aus; Aus; Aus; Aus; 
15.08.2019 00:10:43; ; ; ;  0.70;  5.26;  50.0;    0; ; ; ; Aus; Aus; Aus; Aus; Aus; Aus; Aus; 
15.08.2019 00:11:43; ; ; ;  0.67;  5.19;  50.0;    0; ; ; ; Aus; Aus; Aus; Aus; Aus; Aus; Aus; 
15.08.2019 00:12:43; ; ; ;  0.78;  5.39;  50.0;    0; ; ; ; Aus; Aus; Aus; Aus; Aus; Aus; Aus; 
15.08.2019 00:13:43; ; ; ;  0.73;  5.30;  50.0;    0; ; ; ; Aus; Aus; Aus; Aus; Aus; Aus; Aus; 
15.08.2019 00:14:43; ; ; ;  0.68;  5.20;  50.0;    0; ; ; ; Aus; Aus; Aus; Aus; Aus; Aus; Aus; 
15.08.2019 00:15:43; ; ; ;  0.69;  5.23;  50.0;    0; ; ; ; Aus; Aus; Aus; Aus; Aus; Aus; Aus; 
15.08.2019 00:16:43; ; ; ;  0.65;  5.16;  50.0;    0; ; ; ; Aus; Aus; Aus; Aus; Aus; Aus; Aus; 
15.08.2019 00:17:43; ; ; ;  0.64;  5.15;  50.0;    0; ; ; ; Aus; Aus; Aus; Aus; Aus; Aus; Aus; 
15.08.2019 00:18:43; ; ; ;  0.75;  5.34;  50.0;    0; ; ; ; Aus; Aus; Aus; Aus; Aus; Aus; Aus; 
15.08.2019 00:19:43; ; ; ;  0.64;  5.14;  50.0;    0; ; ; ; Aus; Aus; Aus; Aus; Aus; Aus; Aus; 
15.08.2019 00:20:43; ; ; ;  0.71;  5.26;  50.0;    0; ; ; ; Aus; Aus; Aus; Aus; Aus; Aus; Aus; 
15.08.2019 00:21:43; ; ; ;  0.75;  5.34;  50.0;    0; ; ; ; Aus; Aus; Aus; Aus; Aus; Aus; Aus; 
15.08.2019 00:22:43; ; ; ;  0.62;  5.10;  50.0;    0; ; ; ; Aus; Aus; Aus; Aus; Aus; Aus; Aus; 
15.08.2019 00:23:43; ; ; ;  0.67;  5.19;  50.0;    0; ; ; ; Aus; Aus; Aus; Aus; Aus; Aus; Aus; 
15.08.2019 00:24:43; ; ; ;  0.68;  5.21;  50.0;    0; ; ; ; Aus; Aus; Aus; Aus; Aus; Aus; Aus; 
15.08.2019 00:25:43; ; ; ;  0.63;  5.12;  50.0;    0; ; ; ; Aus; Aus; Aus; Aus; Aus; Aus; Aus; 
15.08.2019 00:26:43; ; ; ;  0.76;  5.34;  50.0;    0; ; ; ; Aus; Aus; Aus; Aus; Aus; Aus; Aus; 
15.08.2019 00:27:43; ; ; ;  0.78;  5.38;  50.0;    0; ; ; ; Aus; Aus; Aus; Aus; Aus; Aus; Aus; 
